item,unit,price,currency
Eggs (brown),1 piece,13.25,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,167.5,BDT
Sugar,KG,127.75,BDT
Oil (palm),L,132.5,BDT
"Oil (soybean, fortified)",L,163.5,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,4.38,BDT
Chili (green),KG,187.5,BDT
"Garlic (imported, China)",KG,185.0,BDT
"Onions (imported, China)",KG,106.75,BDT
Papaya (green),KG,28.25,BDT
Snake gourd,KG,52.5,BDT
Rice (coarse),KG,47.5,BDT
Eggs (brown),1 piece,13.06,BDT
"Meat (chicken, broiler)",KG,182.5,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,136.75,BDT
Lentils (masur),KG,127.5,BDT
Bananas (ripe),1 piece,6.5,BDT
Chili (green),KG,172.5,BDT
Gourd (bottle),KG,38.75,BDT
"Onions (imported, China)",KG,109.25,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,43.75,BDT
Spinach (malabar),KG,26.5,BDT
Spinach (red),KG,32.5,BDT
Wheat flour,KG,50.0,BDT
Eggs (brown),1 piece,13.06,BDT
"Meat (chicken, broiler)",KG,182.5,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,136.75,BDT
"Oil (soybean, fortified)",L,152.25,BDT
Lentils (masur),KG,127.5,BDT
Bananas (ripe),1 piece,6.5,BDT
Gourd (bottle),KG,38.75,BDT
Papaya (green),KG,32.5,BDT
Spinach (red),KG,32.5,BDT
Wheat flour,KG,56.0,BDT
Eggs (brown),1 piece,12.5,BDT
"Fish (live, pangasius)",KG,165.0,BDT
"Meat (chicken, broiler)",KG,166.25,BDT
Oil (palm),L,142.5,BDT
"Oil (soybean, fortified)",L,160.0,BDT
Bananas (ripe),1 piece,4.75,BDT
"Garlic (imported, China)",KG,197.5,BDT
Gourd (bottle),KG,75.0,BDT
Snake gourd,KG,57.5,BDT
Spinach (malabar),KG,47.5,BDT
Spinach (red),KG,27.5,BDT
"Potatoes (Holland, white)",KG,50.75,BDT
Rice (coarse),KG,49.5,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
Sugar,KG,126.25,BDT
Oil (palm),L,135.0,BDT
"Oil (soybean, fortified)",L,158.5,BDT
Bananas (ripe),1 piece,5.5,BDT
Chili (green),KG,190.0,BDT
"Garlic (imported, China)",KG,208.75,BDT
Gourd (bottle),KG,65.0,BDT
"Onions (imported, China)",KG,110.0,BDT
Papaya (green),KG,33.25,BDT
"Potatoes (Holland, white)",KG,54.75,BDT
Rice (coarse),KG,54.5,BDT
Wheat flour,KG,61.0,BDT
"Fish (live, pangasius)",KG,192.5,BDT
Lentils (masur),KG,112.5,BDT
Bananas (ripe),1 piece,9.5,BDT
Chili (green),KG,195.0,BDT
"Garlic (imported, China)",KG,203.75,BDT
Gourd (bottle),KG,55.0,BDT
"Onions (imported, China)",KG,112.5,BDT
Papaya (green),KG,25.0,BDT
Rice (coarse),KG,45.5,BDT
"Fish (live, pangasius)",KG,155.0,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Lentils (masur),KG,100.75,BDT
Bananas (ripe),1 piece,6.12,BDT
Chili (green),KG,145.0,BDT
"Garlic (imported, China)",KG,205.75,BDT
Gourd (bottle),KG,55.0,BDT
Papaya (green),KG,27.5,BDT
Spinach (malabar),KG,42.5,BDT
Spinach (red),KG,40.0,BDT
"Potatoes (Holland, white)",KG,55.5,BDT
Eggs (brown),1 piece,13.19,BDT
"Fish (live, pangasius)",KG,192.5,BDT
"Meat (chicken, broiler)",KG,177.5,BDT
Sugar,KG,132.75,BDT
"Oil (soybean, fortified)",L,165.75,BDT
Lentils (masur),KG,114.0,BDT
Chili (green),KG,252.5,BDT
Papaya (green),KG,48.25,BDT
"Potatoes (Holland, white)",KG,55.0,BDT
Rice (coarse),KG,55.5,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,13.19,BDT
"Fish (live, pangasius)",KG,190.0,BDT
Sugar,KG,127.5,BDT
"Oil (soybean, fortified)",L,157.5,BDT
Lentils (masur),KG,112.5,BDT
Bananas (ripe),1 piece,8.75,BDT
Chili (green),KG,172.5,BDT
"Garlic (imported, China)",KG,198.75,BDT
Gourd (bottle),KG,55.0,BDT
"Onions (imported, China)",KG,110.0,BDT
Papaya (green),KG,27.5,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Rice (coarse),KG,50.0,BDT
Eggs (brown),1 piece,13.81,BDT
"Fish (live, pangasius)",KG,210.0,BDT
"Meat (chicken, broiler)",KG,176.25,BDT
Sugar,KG,135.0,BDT
"Oil (soybean, fortified)",L,149.0,BDT
Lentils (masur),KG,115.0,BDT
Chili (green),KG,180.0,BDT
"Garlic (imported, China)",KG,215.0,BDT
Gourd (bottle),KG,45.0,BDT
"Onions (imported, China)",KG,107.5,BDT
Papaya (green),KG,32.5,BDT
Wheat flour,KG,55.0,BDT
Eggs (brown),1 piece,13.38,BDT
"Fish (live, pangasius)",KG,140.0,BDT
"Meat (chicken, broiler)",KG,181.25,BDT
Sugar,KG,132.5,BDT
Oil (palm),L,129.0,BDT
"Oil (soybean, fortified)",L,144.5,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,6.5,BDT
"Garlic (imported, China)",KG,212.5,BDT
Gourd (bottle),KG,35.0,BDT
Papaya (green),KG,25.0,BDT
Snake gourd,KG,50.0,BDT
Spinach (malabar),KG,35.0,BDT
Spinach (red),KG,30.0,BDT
Eggs (brown),1 piece,13.19,BDT
"Meat (chicken, broiler)",KG,171.25,BDT
Sugar,KG,129.0,BDT
"Oil (soybean, fortified)",L,153.0,BDT
Chili (green),KG,172.5,BDT
"Garlic (imported, China)",KG,230.0,BDT
Papaya (green),KG,30.0,BDT
Spinach (red),KG,37.5,BDT
"Potatoes (Holland, white)",KG,55.0,BDT
Rice (coarse),KG,51.5,BDT
Wheat flour,KG,54.5,BDT
"Meat (chicken, broiler)",KG,182.5,BDT
Oil (palm),L,132.25,BDT
"Oil (soybean, fortified)",L,152.0,BDT
Lentils (masur),KG,110.0,BDT
Bananas (ripe),1 piece,4.38,BDT
"Garlic (imported, China)",KG,225.0,BDT
"Onions (imported, China)",KG,108.25,BDT
Papaya (green),KG,28.75,BDT
Snake gourd,KG,51.25,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Wheat flour,KG,51.0,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,162.5,BDT
Sugar,KG,127.25,BDT
"Oil (soybean, fortified)",L,153.5,BDT
"Garlic (imported, China)",KG,217.0,BDT
Papaya (green),KG,29.5,BDT
Snake gourd,KG,47.5,BDT
Spinach (malabar),KG,37.5,BDT
Spinach (red),KG,37.5,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Rice (coarse),KG,47.75,BDT
Wheat flour,KG,50.0,BDT
Eggs (brown),1 piece,13.0,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,166.25,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,137.25,BDT
"Oil (soybean, fortified)",L,149.0,BDT
Bananas (ripe),1 piece,4.38,BDT
Chili (green),KG,175.0,BDT
"Garlic (imported, China)",KG,212.5,BDT
Gourd (bottle),KG,55.0,BDT
"Onions (imported, China)",KG,100.75,BDT
Snake gourd,KG,41.25,BDT
Rice (coarse),KG,55.5,BDT
Wheat flour,KG,51.75,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Oil (palm),L,150.0,BDT
"Oil (soybean, fortified)",L,154.5,BDT
Lentils (masur),KG,112.5,BDT
Bananas (ripe),1 piece,4.38,BDT
Chili (green),KG,190.0,BDT
"Garlic (imported, China)",KG,230.0,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,46.25,BDT
Spinach (malabar),KG,42.5,BDT
Spinach (red),KG,42.5,BDT
"Potatoes (Holland, white)",KG,59.0,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,13.12,BDT
"Fish (live, pangasius)",KG,160.0,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
Sugar,KG,129.0,BDT
"Oil (soybean, fortified)",L,155.5,BDT
Gourd (bottle),KG,45.0,BDT
Papaya (green),KG,25.0,BDT
Snake gourd,KG,42.5,BDT
Spinach (malabar),KG,27.5,BDT
"Potatoes (Holland, white)",KG,52.25,BDT
Wheat flour,KG,53.5,BDT
Eggs (brown),1 piece,13.5,BDT
"Meat (chicken, broiler)",KG,167.5,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,6.88,BDT
Chili (green),KG,185.0,BDT
"Garlic (imported, China)",KG,206.25,BDT
Gourd (bottle),KG,52.5,BDT
Snake gourd,KG,57.5,BDT
Spinach (malabar),KG,35.0,BDT
Rice (coarse),KG,51.0,BDT
Eggs (brown),1 piece,12.94,BDT
"Fish (live, pangasius)",KG,175.0,BDT
Sugar,KG,126.25,BDT
Oil (palm),L,145.25,BDT
"Oil (soybean, fortified)",L,157.75,BDT
Chili (green),KG,182.5,BDT
"Garlic (imported, China)",KG,225.0,BDT
Gourd (bottle),KG,60.0,BDT
Papaya (green),KG,30.0,BDT
Snake gourd,KG,45.0,BDT
Spinach (malabar),KG,22.5,BDT
Spinach (red),KG,43.75,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Rice (coarse),KG,58.25,BDT
Wheat flour,KG,49.0,BDT
"Fish (live, pangasius)",KG,145.0,BDT
"Meat (chicken, broiler)",KG,160.75,BDT
Sugar,KG,147.5,BDT
Oil (palm),L,143.75,BDT
"Oil (soybean, fortified)",L,158.25,BDT
Lentils (masur),KG,137.5,BDT
Bananas (ripe),1 piece,4.38,BDT
"Garlic (imported, China)",KG,225.0,BDT
Gourd (bottle),KG,51.25,BDT
Papaya (green),KG,22.5,BDT
Snake gourd,KG,41.25,BDT
Spinach (malabar),KG,22.5,BDT
"Potatoes (Holland, white)",KG,54.25,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,12.5,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,167.5,BDT
Sugar,KG,127.75,BDT
Oil (palm),L,122.0,BDT
"Oil (soybean, fortified)",L,153.0,BDT
Lentils (masur),KG,111.0,BDT
Chili (green),KG,180.0,BDT
Gourd (bottle),KG,41.25,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,35.0,BDT
Spinach (malabar),KG,25.0,BDT
Spinach (red),KG,35.0,BDT
Rice (coarse),KG,51.0,BDT
Eggs (brown),1 piece,13.38,BDT
"Fish (live, pangasius)",KG,190.0,BDT
"Meat (chicken, broiler)",KG,170.0,BDT
Sugar,KG,132.25,BDT
Oil (palm),L,132.5,BDT
"Oil (soybean, fortified)",L,152.5,BDT
Bananas (ripe),1 piece,6.88,BDT
Chili (green),KG,190.0,BDT
"Garlic (imported, China)",KG,200.0,BDT
Gourd (bottle),KG,60.0,BDT
"Onions (imported, China)",KG,100.0,BDT
Papaya (green),KG,35.0,BDT
Spinach (malabar),KG,25.0,BDT
Spinach (red),KG,37.5,BDT
Eggs (brown),1 piece,12.88,BDT
"Fish (live, pangasius)",KG,150.0,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Oil (palm),L,137.5,BDT
"Oil (soybean, fortified)",L,155.5,BDT
Lentils (masur),KG,147.5,BDT
Bananas (ripe),1 piece,5.62,BDT
"Garlic (imported, China)",KG,190.0,BDT
Papaya (green),KG,31.25,BDT
Snake gourd,KG,35.0,BDT
Spinach (malabar),KG,17.5,BDT
Spinach (red),KG,22.5,BDT
"Potatoes (Holland, white)",KG,54.5,BDT
Rice (coarse),KG,51.0,BDT
Wheat flour,KG,51.75,BDT
Sugar,KG,155.0,BDT
Oil (palm),L,142.25,BDT
"Oil (soybean, fortified)",L,155.25,BDT
Lentils (masur),KG,106.0,BDT
Chili (green),KG,185.0,BDT
"Garlic (imported, China)",KG,215.0,BDT
Gourd (bottle),KG,37.5,BDT
Papaya (green),KG,32.5,BDT
Snake gourd,KG,45.75,BDT
Spinach (malabar),KG,17.5,BDT
Spinach (red),KG,25.0,BDT
"Potatoes (Holland, white)",KG,53.5,BDT
Rice (coarse),KG,51.5,BDT
Wheat flour,KG,48.75,BDT
Eggs (brown),1 piece,13.19,BDT
"Fish (live, pangasius)",KG,120.0,BDT
Sugar,KG,115.0,BDT
Lentils (masur),KG,120.0,BDT
Bananas (ripe),1 piece,5.5,BDT
Chili (green),KG,145.0,BDT
"Garlic (imported, China)",KG,207.5,BDT
Papaya (green),KG,22.5,BDT
Spinach (red),KG,27.0,BDT
"Potatoes (Holland, white)",KG,55.25,BDT
Rice (coarse),KG,53.0,BDT
Wheat flour,KG,50.0,BDT
Eggs (brown),1 piece,12.62,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Sugar,KG,135.0,BDT
Oil (palm),L,132.25,BDT
Bananas (ripe),1 piece,3.5,BDT
Chili (green),KG,170.0,BDT
"Garlic (imported, China)",KG,212.5,BDT
"Onions (imported, China)",KG,98.75,BDT
Snake gourd,KG,50.0,BDT
Spinach (malabar),KG,22.0,BDT
Spinach (red),KG,28.75,BDT
Wheat flour,KG,64.5,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,130.0,BDT
Oil (palm),L,133.25,BDT
"Oil (soybean, fortified)",L,154.25,BDT
Bananas (ripe),1 piece,3.5,BDT
Chili (green),KG,120.0,BDT
"Garlic (imported, China)",KG,205.0,BDT
Gourd (bottle),KG,40.0,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,46.25,BDT
Spinach (malabar),KG,25.0,BDT
Spinach (red),KG,47.5,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Wheat flour,KG,52.5,BDT
Eggs (brown),1 piece,12.5,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,150.0,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,6.75,BDT
"Garlic (imported, China)",KG,227.5,BDT
Gourd (bottle),KG,60.0,BDT
"Onions (imported, China)",KG,107.5,BDT
Papaya (green),KG,36.5,BDT
Snake gourd,KG,47.0,BDT
Spinach (malabar),KG,33.75,BDT
Spinach (red),KG,50.0,BDT
"Potatoes (Holland, white)",KG,53.0,BDT
Rice (coarse),KG,47.5,BDT
Eggs (brown),1 piece,12.56,BDT
"Meat (chicken, broiler)",KG,170.0,BDT
Sugar,KG,115.0,BDT
Oil (palm),L,139.0,BDT
Lentils (masur),KG,107.0,BDT
Bananas (ripe),1 piece,4.5,BDT
Chili (green),KG,132.5,BDT
"Garlic (imported, China)",KG,202.5,BDT
Papaya (green),KG,28.75,BDT
Spinach (malabar),KG,18.0,BDT
Spinach (red),KG,35.0,BDT
Rice (coarse),KG,51.0,BDT
Wheat flour,KG,52.75,BDT
Eggs (brown),1 piece,12.75,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Oil (palm),L,130.25,BDT
"Oil (soybean, fortified)",L,170.5,BDT
Bananas (ripe),1 piece,3.75,BDT
Chili (green),KG,152.5,BDT
"Garlic (imported, China)",KG,220.0,BDT
Gourd (bottle),KG,38.75,BDT
Papaya (green),KG,27.5,BDT
Spinach (malabar),KG,20.0,BDT
Spinach (red),KG,50.0,BDT
Rice (coarse),KG,51.0,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,12.62,BDT
"Oil (soybean, fortified)",L,154.0,BDT
Gourd (bottle),KG,30.0,BDT
"Onions (imported, China)",KG,97.5,BDT
Papaya (green),KG,30.0,BDT
Snake gourd,KG,35.0,BDT
Spinach (malabar),KG,13.0,BDT
Spinach (red),KG,32.5,BDT
"Potatoes (Holland, white)",KG,57.5,BDT
Eggs (brown),1 piece,13.19,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,167.5,BDT
Sugar,KG,160.0,BDT
Oil (palm),L,140.5,BDT
Bananas (ripe),1 piece,4.75,BDT
Chili (green),KG,160.0,BDT
"Garlic (imported, China)",KG,220.0,BDT
Gourd (bottle),KG,55.0,BDT
Snake gourd,KG,48.25,BDT
Spinach (malabar),KG,32.5,BDT
"Potatoes (Holland, white)",KG,51.5,BDT
Rice (coarse),KG,54.0,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,12.75,BDT
"Meat (chicken, broiler)",KG,175.0,BDT
Oil (palm),L,136.0,BDT
Bananas (ripe),1 piece,4.75,BDT
Chili (green),KG,147.5,BDT
"Garlic (imported, China)",KG,202.5,BDT
Gourd (bottle),KG,47.5,BDT
"Onions (imported, China)",KG,101.5,BDT
Papaya (green),KG,25.0,BDT
Snake gourd,KG,30.0,BDT
Spinach (malabar),KG,17.0,BDT
Spinach (red),KG,29.0,BDT
"Potatoes (Holland, white)",KG,54.0,BDT
Rice (coarse),KG,50.25,BDT
Eggs (brown),1 piece,12.88,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Meat (chicken, broiler)",KG,177.5,BDT
Sugar,KG,130.75,BDT
"Oil (soybean, fortified)",L,150.75,BDT
Lentils (masur),KG,140.0,BDT
Bananas (ripe),1 piece,4.5,BDT
Chili (green),KG,165.0,BDT
Gourd (bottle),KG,45.0,BDT
"Onions (imported, China)",KG,105.25,BDT
Papaya (green),KG,27.0,BDT
Snake gourd,KG,42.5,BDT
Spinach (malabar),KG,27.5,BDT
Spinach (red),KG,32.5,BDT
"Potatoes (Holland, white)",KG,55.0,BDT
Wheat flour,KG,51.5,BDT
Eggs (brown),1 piece,12.81,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Oil (palm),L,139.25,BDT
Chili (green),KG,177.5,BDT
Gourd (bottle),KG,47.5,BDT
Papaya (green),KG,25.0,BDT
Spinach (malabar),KG,37.5,BDT
"Potatoes (Holland, white)",KG,56.0,BDT
Rice (coarse),KG,47.75,BDT
Wheat flour,KG,52.5,BDT
Eggs (brown),1 piece,12.94,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Meat (chicken, broiler)",KG,170.0,BDT
Sugar,KG,127.5,BDT
Oil (palm),L,127.5,BDT
Lentils (masur),KG,137.5,BDT
Bananas (ripe),1 piece,4.38,BDT
Chili (green),KG,162.5,BDT
"Garlic (imported, China)",KG,212.5,BDT
Gourd (bottle),KG,37.5,BDT
"Onions (imported, China)",KG,102.5,BDT
Papaya (green),KG,28.25,BDT
Snake gourd,KG,37.5,BDT
Spinach (malabar),KG,35.0,BDT
Spinach (red),KG,37.5,BDT
"Potatoes (Holland, white)",KG,55.5,BDT
Rice (coarse),KG,47.5,BDT
Wheat flour,KG,49.0,BDT
"Fish (live, pangasius)",KG,205.0,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Sugar,KG,126.0,BDT
Oil (palm),L,136.75,BDT
"Oil (soybean, fortified)",L,149.5,BDT
Bananas (ripe),1 piece,4.25,BDT
Chili (green),KG,210.0,BDT
"Garlic (imported, China)",KG,205.0,BDT
Gourd (bottle),KG,37.5,BDT
Snake gourd,KG,37.5,BDT
Spinach (malabar),KG,22.5,BDT
Spinach (red),KG,27.5,BDT
"Potatoes (Holland, white)",KG,51.0,BDT
Rice (coarse),KG,46.5,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Oil (palm),L,135.75,BDT
"Oil (soybean, fortified)",L,150.0,BDT
Lentils (masur),KG,111.0,BDT
"Garlic (imported, China)",KG,200.0,BDT
"Onions (imported, China)",KG,97.5,BDT
Papaya (green),KG,23.75,BDT
Spinach (malabar),KG,22.5,BDT
Spinach (red),KG,41.25,BDT
Rice (coarse),KG,54.5,BDT
Wheat flour,KG,47.5,BDT
Eggs (brown),1 piece,12.25,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,131.0,BDT
Oil (palm),L,138.25,BDT
"Oil (soybean, fortified)",L,157.25,BDT
Lentils (masur),KG,109.0,BDT
Bananas (ripe),1 piece,3.75,BDT
Chili (green),KG,210.0,BDT
"Garlic (imported, China)",KG,205.0,BDT
Gourd (bottle),KG,35.0,BDT
"Onions (imported, China)",KG,97.5,BDT
Papaya (green),KG,21.0,BDT
Snake gourd,KG,45.0,BDT
Spinach (malabar),KG,17.5,BDT
Spinach (red),KG,32.5,BDT
Rice (coarse),KG,44.5,BDT
Wheat flour,KG,49.0,BDT
"Fish (live, pangasius)",KG,135.0,BDT
Oil (palm),L,124.5,BDT
"Oil (soybean, fortified)",L,152.5,BDT
Lentils (masur),KG,107.5,BDT
"Garlic (imported, China)",KG,205.0,BDT
Gourd (bottle),KG,37.5,BDT
"Onions (imported, China)",KG,95.75,BDT
Papaya (green),KG,27.5,BDT
Spinach (malabar),KG,20.0,BDT
Spinach (red),KG,35.0,BDT
Rice (coarse),KG,47.5,BDT
Wheat flour,KG,47.0,BDT
Eggs (brown),1 piece,12.25,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
Oil (palm),L,139.5,BDT
Lentils (masur),KG,109.0,BDT
Papaya (green),KG,18.25,BDT
Snake gourd,KG,27.0,BDT
Spinach (malabar),KG,19.5,BDT
Spinach (red),KG,45.0,BDT
Wheat flour,KG,47.0,BDT
"Meat (chicken, broiler)",KG,167.5,BDT
Sugar,KG,126.75,BDT
Oil (palm),L,137.5,BDT
Lentils (masur),KG,112.5,BDT
Bananas (ripe),1 piece,4.5,BDT
Chili (green),KG,172.5,BDT
"Onions (imported, China)",KG,101.25,BDT
Papaya (green),KG,27.5,BDT
Snake gourd,KG,42.5,BDT
Spinach (red),KG,32.5,BDT
Rice (coarse),KG,49.0,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,13.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,127.0,BDT
Oil (palm),L,140.0,BDT
"Oil (soybean, fortified)",L,152.0,BDT
Lentils (masur),KG,107.5,BDT
Gourd (bottle),KG,40.0,BDT
Papaya (green),KG,25.0,BDT
Spinach (malabar),KG,20.0,BDT
Spinach (red),KG,37.5,BDT
Wheat flour,KG,52.5,BDT
Eggs (brown),1 piece,12.5,BDT
"Fish (live, pangasius)",KG,160.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,135.0,BDT
"Oil (soybean, fortified)",L,149.0,BDT
Lentils (masur),KG,115.0,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,45.0,BDT
Papaya (green),KG,20.0,BDT
Snake gourd,KG,40.0,BDT
Spinach (malabar),KG,15.0,BDT
Rice (coarse),KG,49.0,BDT
Wheat flour,KG,49.0,BDT
Eggs (brown),1 piece,12.5,BDT
"Fish (live, pangasius)",KG,200.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Sugar,KG,127.5,BDT
"Oil (soybean, fortified)",L,149.0,BDT
Lentils (masur),KG,107.5,BDT
Bananas (ripe),1 piece,3.75,BDT
"Garlic (imported, China)",KG,220.0,BDT
Gourd (bottle),KG,35.0,BDT
Snake gourd,KG,42.5,BDT
Rice (coarse),KG,48.0,BDT
Wheat flour,KG,43.5,BDT
Eggs (brown),1 piece,13.0,BDT
"Fish (live, pangasius)",KG,172.5,BDT
"Meat (chicken, broiler)",KG,180.0,BDT
"Oil (soybean, fortified)",L,146.5,BDT
Lentils (masur),KG,105.0,BDT
Gourd (bottle),KG,32.5,BDT
"Onions (imported, China)",KG,97.5,BDT
Snake gourd,KG,25.0,BDT
Rice (coarse),KG,53.0,BDT
Eggs (brown),1 piece,12.44,BDT
"Fish (live, pangasius)",KG,160.0,BDT
"Meat (chicken, broiler)",KG,167.5,BDT
Oil (palm),L,134.5,BDT
